ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
"KCDMEPO23N000000079","장소","문화시설","346811","청라갤러리",,,"100106","소형갤러리","1138010600101910027","서울특별시","은평구","대조동",,"191-27","1138010600","1138057000","113804133316","통일로73길","13","126.9230554","37.61518708","다사490574","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000080","장소","문화시설","346841","대전동부교육지원청과학전시관",,,"100103","기타전시/박물관","3014011600102790008","대전광역시","중구","문화동",,"279-8","3014011600","3014072000","301404295323","문화로234번길","54","127.4095839","36.31426938","다바918129","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000081","장소","문화시설","346842","보전회전시관",,,"100103","기타전시/박물관","4672025024102240001","전라남도","곡성군","곡성읍","죽동리","224-1","4672025024","4672025000","467204661300","죽동길","46","127.2840476","35.27927752","다라803982","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000082","장소","문화시설","346855","전경숙갤러리",,,"100106","소형갤러리","2626010400102880013","부산광역시","동래구","낙민동",,"288-13","2626010400","2626051000","262602006006","충렬대로","268","129.088408","35.20066314","마라445906","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000083","장소","문화시설","346858","춘천인형극장",,,"100203","공연/연극/문화센터","5111011900102770003","강원특별자치도","춘천시","사농동",,"277-3","5111011900","5111070500","511103013022","영서로","3017","127.7202373","37.92156846","라사193913","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000084","장소","문화시설","346872","아리랑소극장",,,"100203","공연/연극/문화센터","1111016800100010153","서울특별시","종로구","동숭동",,"1-153","1111016800","1111064000","111104100075","동숭길","39","127.0042434","37.5799973","다사562535","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000085","장소","문화시설","346874","아라가야미술관",,,"100105","미술관","1111018400100230003","서울특별시","종로구","부암동",,"23-3","1111018400","1111055000","111103100019","북악산로","48","126.9701248","37.59520698","다사532552","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000086","장소","문화시설","346876","한양대학교박물관",,,"100103","기타전시/박물관","1120010600101100000","서울특별시","성동구","행당동",,"110","1120010700","1120055000","112003005011","왕십리로","222","127.0447115","37.55518962","다사597507","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000087","장소","문화시설","346877","KOCCA뮤직스튜디오",,,"100203","공연/연극/문화센터","1171011100100880000","서울특별시","송파구","방이동",,"88","1171011100","1171056600","117103123023","올림픽로","424","127.1267389","37.51343934","다사670460","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000088","장소","문화시설","346895","통일관",,,"100103","기타전시/박물관","2726010200114100000","대구광역시","수성구","만촌동",,"1410","2726010200","2726055000","272603146009","만촌로","153","128.6401177","35.87228102","마마029645","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000089","장소","문화시설","346898","옥과미술관",,,"100105","미술관","4672037021106500014","전라남도","곡성군","옥과면","옥과리","650-14","4672037021","4672037000","467203287012","미술관로","288","127.1226108","35.29708657","다마656002","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000090","장소","문화시설","346900","원불교중앙총부소태산기념관",,,"100103","기타전시/박물관","4514012000103440002","전라북도","익산시","신용동",,"344-2","4514012000","4514065600","451402269001","익산대로","501","126.9504053","35.97255971","다마504752","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
"KCDMEPO23N000000091","장소","문화시설","346903","충주물문화관",,,"100103","기타전시/박물관","4313012100109850004","충청북도","충주시","종민동",,"985-4","4313012100","4313053500","431303238079","충주호수로","737","127.9907372","37.00445636","라바436896","20240105","KT","KC_491_WNTY_PRKLT_2023","20231220"
